open_dt,drawdown_open,drawdown_close,drawdown_trail_increase,drawdown_high,drawdown_low,liquidated
2025-11-30 18:00:00,6000,6493.92,3500,10000,5250,FALSE
2025-12-01 09:38:00,6493.92,2993.92,1493.92,7993.92,4493.92,FALSE
2025-12-02 04:25:00,2993.92,987.84,0,3443.92,993.92,FALSE
2025-12-02 05:09:00,987.84,-1018.24,0,1337.84,-1012.16,TRUE
2025-12-02 08:30:00,-1018.24,-499.32,0,1731.76,-2818.24,TRUE
2025-12-02 10:00:00,-499.32,469.6,0,2700.68,-1849.32,TRUE
2025-12-02 12:31:00,469.6,1563.52,0,3169.6,244.6,FALSE
2025-12-02 14:51:00,1563.52,2307.44,0,2363.52,988.52,FALSE
2025-12-02 15:13:00,2307.44,3251.36,0,3307.44,1932.44,FALSE
2025-12-02 21:23:00,3251.36,2143.92,401.36,6901.36,1326.36,FALSE
2025-12-02 22:35:00,2143.92,1612.84,0,5968.92,393.92,FALSE
2025-12-03 11:38:00,1612.84,1356.76,0,3462.84,137.84,FALSE
2025-12-03 12:21:00,1356.76,1050.68,0,1506.76,-168.24,TRUE
2025-12-03 14:00:00,1050.68,1269.6,0,1450.68,50.68,FALSE
2025-12-04 09:08:00,1269.6,2638.52,0,5069.6,619.6,FALSE
2025-12-04 20:41:00,2638.52,632.44,0,4438.52,638.52,FALSE
2025-12-04 21:15:00,632.44,-1373.64,0,2657.44,-1367.56,TRUE
2025-12-04 22:58:00,-1373.64,-3379.72,0,826.36,-3373.64,TRUE
2025-12-04 23:07:00,-3379.72,-5385.8,0,-1004.72,-5379.72,TRUE
2025-12-05 09:31:00,-5385.8,-4066.88,0,-3510.8,-7360.8,TRUE
2025-12-05 11:00:00,-4066.88,-2272.96,0,-1716.88,-4291.88,TRUE
2025-12-09 11:16:00,-2272.96,20.96,0,102.04,-2497.96,TRUE
2025-12-09 12:05:00,20.96,2464.88,0,2545.96,-29.04,TRUE
2025-12-10 11:27:00,2464.88,458.8,0,3839.88,464.88,FALSE
2025-12-10 12:55:00,458.8,-1547.28,0,1983.8,-1541.2,TRUE
2025-12-10 14:00:00,-1547.28,-3553.36,0,-672.28,-3547.28,TRUE
2025-12-11 04:54:00,-3553.36,-5559.44,0,-2953.36,-5553.36,TRUE
2025-12-11 06:46:00,-5559.44,-7565.52,0,-3434.44,-7559.44,TRUE
2025-12-11 09:11:00,-7565.52,-9571.6,0,-4565.52,-9565.52,TRUE
2025-12-11 10:11:00,-9571.6,-11577.68,0,-9346.6,-11571.6,TRUE
2025-12-11 19:30:00,-11577.68,-7583.76,0,-7577.68,-12427.68,TRUE
2025-12-11 20:16:00,-7583.76,-3589.84,0,-3583.76,-8308.76,TRUE
2025-12-11 21:08:00,-3589.84,404.08,0,410.16,-4114.84,TRUE
2025-12-12 00:56:00,404.08,4398,0,4404.08,279.08,FALSE
2025-12-15 03:31:00,4398,2391.92,0,4398,2398,FALSE
2025-12-15 08:43:00,2391.92,6385.84,0,6391.92,1666.92,FALSE
2025-12-15 09:01:00,6385.84,6493.92,3885.84,10385.84,5910.84,FALSE
2025-12-16 05:37:00,6493.92,4468.92,18.92,6518.92,4493.92,FALSE
2025-12-16 06:01:00,4468.92,2462.84,0,4718.92,2468.92,FALSE
2025-12-16 09:16:00,2462.84,6456.76,0,6462.84,1712.84,FALSE
2025-12-16 15:30:00,6456.76,5975.68,0,6456.76,5281.76,FALSE
2025-12-17 01:14:00,5975.68,3969.6,0,6275.68,3975.68,FALSE
2025-12-17 02:06:00,3969.6,1963.52,0,4444.6,1969.6,FALSE
2025-12-17 03:18:00,1963.52,5957.44,0,5963.52,163.52,FALSE
2025-12-17 04:15:00,5957.44,6493.92,3457.44,9957.44,4357.44,FALSE
2025-12-17 08:01:00,6493.92,6493.92,3993.92,10493.92,6443.92,FALSE
2025-12-18 03:47:00,6493.92,3993.92,493.92,6993.92,4493.92,FALSE
2025-12-18 04:34:00,3993.92,1987.84,0,4068.92,1993.92,FALSE
2025-12-18 06:00:00,1987.84,-18.24,0,2562.84,-12.16,TRUE
2025-12-18 08:30:00,-18.24,-2024.32,0,-18.24,-2018.24,TRUE
2025-12-18 15:33:00,-2024.32,-1380.4,0,-1249.32,-2674.32,TRUE
2025-12-19 02:13:00,-1380.4,-3386.48,0,-305.4,-3380.4,TRUE
2025-12-19 03:02:00,-3386.48,-5392.56,0,-2111.48,-5386.48,TRUE
2025-12-19 09:29:00,-5392.56,-7398.64,0,-5167.56,-7392.56,TRUE